metric,season_2024_mean,season_2025_mean,delta_2025_minus_2024
model_prob,0.518962302777054,0.5321390150036667,0.013176712226612652
cal_prob,,,
model_edge_vs_open,-0.026245307131771884,-0.027861197170740412,-0.001615890038968528
model_edge_vs_close,-0.028545187604935546,-0.03271690064202163,-0.004171713037086085
open_to_mid_prob_move,0.0017173124365173478,0.0038782328103929113,0.0021609203738755635
mid_to_close_prob_move,0.0005825680366463141,0.0009774706608882962,0.00039490262424198203
open_to_close_prob_move,0.002299880473163667,0.004855703471281217,0.0025558229981175497
roi_per_1,,,
result,,,
