Season,close_edge_bucket,bets,wins,roi,hit_rate,avg_true_prob,avg_market_prob,avg_edge_market,avg_edge_open,avg_edge_close,avg_otm_move,avg_mtc_move,avg_ev,avg_hybrid_score
2024,0.02-0.05,27,20,0.44748257734551333,0.7407407407407407,0.5772468434854359,0.5807771806008175,-0.003530337115381637,0.030942981115460174,0.03417634331856242,-0.0031625889239222855,-7.077327917998903e-05,0.017719620572979045,0.21846870557140582
2024,0-0.02,27,19,0.36270594831400066,0.7037037037037037,0.5605965136538537,0.5318310570286431,0.02876545662521059,0.02228459122882948,0.00972507924577114,0.0016365130158162145,0.010922998967242092,0.05171375388107792,0.20489226218484866
2024,>0.05,101,77,0.2535558337873874,0.7623762376237624,0.6996444380694005,0.6061014688841672,0.09354296918523336,0.09567571042222005,0.10347385628749563,-0.0032829692031494484,-0.00451517666212613,0.2585264225458757,0.29811458626497983
2024,,106,54,-0.12952305299800596,0.5094339622641509,0.511502566725282,,,,,,,,0.1790258983538487
2025,0.02-0.05,25,13,-0.14919472286051233,0.52,0.6669056125162157,0.6278683474334236,0.039037265082792046,0.03956239809370229,0.03751856846255574,0.0031557201645123377,-0.0011118905333657913,0.06442172199270424,0.25410525169328807
2025,0-0.02,22,11,-0.21025029934113978,0.5,0.6355708577444266,0.6143897468620657,0.02118111088236074,0.02743002221718691,0.0097038169793997,0.0026741558778941494,0.015052049359892995,0.03234409893656647,0.23306159536149024
2024,<0,264,102,-0.31664282744343364,0.38636363636363635,0.44261393180796654,0.5237628293261831,-0.08114889751821663,-0.08370142005360781,-0.08938117992705324,0.0041376433709762375,0.0015421165024691972,-0.0877062400807572,0.10711498902318914
2025,>0.05,83,34,-0.34565100976772933,0.40963855421686746,0.7119055705483806,0.6257051373640696,0.08620043318431087,0.08928181195184019,0.10307939730980115,-0.0063770333034870825,-0.007420552054473875,0.14522951922480595,0.2998049832806359
2025,<0,232,72,-0.4377378125369938,0.3103448275862069,0.44571381311665803,0.5308601467918217,-0.08514633367516364,-0.08227872503849756,-0.09289032842343108,0.007739179345367164,0.0028724240395663517,-0.18263841354723573,0.10824275339636943
2025,,78,24,-0.45684755705328467,0.3076923076923077,0.5255410310224402,,,,,,,,0.18393936085785403
