Season,close_edge_bucket,bets,wins,roi,hit_rate,avg_true_prob,avg_market_prob,avg_edge_market,avg_edge_open,avg_edge_close,avg_edge_governed,avg_otm_move,avg_mtc_move,avg_ev,avg_ev_governed,avg_hybrid_score,avg_confidence_score,avg_edge_shrunk_35,avg_edge_shrunk_40,avg_edge_shrunk_50,avg_disagreement_abs,avg_governed_weight
2017,<0,0,0.0,,,,,,,,,,,,,,,,,,,
2017,0-0.02,0,0.0,,,,,,,,,,,,,,,,,,,
2017,0.02-0.05,0,0.0,,,,,,,,,,,,,,,,,,,
2017,>0.05,0,0.0,,,,,,,,,,,,,,,,,,,
2017,,267,0.0,,,,,,,,,,,,,0.0,0.0,,,,,0.6790262172284645
2018,<0,0,0.0,,,,,,,,,,,,,,,,,,,
2018,0-0.02,0,0.0,,,,,,,,,,,,,,,,,,,
2018,0.02-0.05,0,0.0,,,,,,,,,,,,,,,,,,,
2018,>0.05,0,0.0,,,,,,,,,,,,,,,,,,,
2018,,267,0.0,,,,,,,,,,,,,0.0,0.0,,,,,0.6777153558052434
2019,<0,0,0.0,,,,,,,,,,,,,,,,,,,
2019,0-0.02,0,0.0,,,,,,,,,,,,,,,,,,,
2019,0.02-0.05,0,0.0,,,,,,,,,,,,,,,,,,,
2019,>0.05,0,0.0,,,,,,,,,,,,,,,,,,,
2019,,267,0.0,,,,,,,,,,,,,0.0,0.0,,,,,0.6777153558052434
2020,<0,0,0.0,,,,,,,,,,,,,,,,,,,
2020,0-0.02,0,0.0,,,,,,,,,,,,,,,,,,,
2020,0.02-0.05,0,0.0,,,,,,,,,,,,,,,,,,,
2020,>0.05,0,0.0,,,,,,,,,,,,,,,,,,,
2020,,269,0.0,,,,,,,,,,,,,0.0,0.0,,,,,0.678996282527881
2021,<0,0,0.0,,,,,,,,,,,,,,,,,,,
2021,0-0.02,0,0.0,,,,,,,,,,,,,,,,,,,
2021,0.02-0.05,0,0.0,,,,,,,,,,,,,,,,,,,
2021,>0.05,0,0.0,,,,,,,,,,,,,,,,,,,
2021,,285,0.0,,,,,,,,,,,,,0.0,0.0,,,,,0.6819298245614035
2022,<0,0,0.0,,,,,,,,,,,,,,,,,,,
2022,0-0.02,0,0.0,,,,,,,,,,,,,,,,,,,
2022,0.02-0.05,0,0.0,,,,,,,,,,,,,,,,,,,
2022,>0.05,0,0.0,,,,,,,,,,,,,,,,,,,
2022,,285,0.0,,,,,,,,,,,,,0.0,0.0,,,,,0.6815789473684211
2023,<0,0,0.0,,,,,,,,,,,,,,,,,,,
2023,0-0.02,0,0.0,,,,,,,,,,,,,,,,,,,
2023,0.02-0.05,0,0.0,,,,,,,,,,,,,,,,,,,
2023,>0.05,0,0.0,,,,,,,,,,,,,,,,,,,
2023,,285,0.0,,,,,,,,,,,,,0.0,0.0,,,,,0.6819298245614035
2024,<0,0,0.0,,,,,,,,,,,,,,,,,,,
2024,0-0.02,0,0.0,,,,,,,,,,,,,,,,,,,
2024,0.02-0.05,0,0.0,,,,,,,,,,,,,,,,,,,
2024,>0.05,0,0.0,,,,,,,,,,,,,,,,,,,
2024,,285,0.0,,,,,,,,,,,,,0.0,0.0,,,,,0.6815789473684211
2025,<0,0,0.0,,,,,,,,,,,,,,,,,,,
2025,0-0.02,0,0.0,,,,,,,,,,,,,,,,,,,
2025,0.02-0.05,0,0.0,,,,,,,,,,,,,,,,,,,
2025,>0.05,0,0.0,,,,,,,,,,,,,,,,,,,
2025,,272,0.0,,,,,,,,,,,,,0.0,0.0,,,,,0.6790441176470587
