bet_band,Season,bets,wins,hit_rate,roi,avg_market_prob,avg_edge_governed,avg_close_edge,avg_close_minus_governed_gap,avg_close_to_governed_ratio,avg_clv,beat_close_rate,avg_confidence_score
Balanced,2020,9,6,0.6666666666666666,0.27766579520510504,0.514571256923748,0.03537799993793611,0.03537799993793611,0.0,1.0,0.03537799993793611,1.0,0.03537799993793611
Balanced,2021,7,5,0.7142857142857143,0.35762783582332464,0.5116266107382985,0.0423768638486517,0.0423768638486517,0.0,1.0,0.0423768638486517,1.0,0.0423768638486517
Balanced,2022,6,2,0.3333333333333333,-0.33598484848484844,0.5049244597437369,0.046119350664648916,0.046119350664648916,0.0,1.0,0.046119350664648916,1.0,0.046119350664648916
Balanced,2023,11,5,0.45454545454545453,-0.12115231686576887,0.5119843692085088,0.032828948239150176,0.032828948239150176,0.0,1.0,0.032828948239150176,1.0,0.032828948239150176
Balanced,2024,9,7,0.7777777777777778,0.431953255947064,0.538527957833785,0.03340805347312719,0.03340805347312719,0.0,1.0,0.03340805347312719,1.0,0.03340805347312718
Balanced,2025,15,7,0.4666666666666667,-0.158256237006237,0.551820223011998,0.04057505880749741,0.04057505880749741,0.0,1.0,0.04057505880749741,1.0,0.04057505880749741
High Confidence,2020,5,3,0.6,0.17530970724191067,0.4956197591894078,0.041315601441439184,0.041315601441439184,0.0,1.0,0.041315601441439184,1.0,0.04131560144143918
High Confidence,2021,6,4,0.6666666666666666,0.29191919191919197,0.5017618040873855,0.04126234299738767,0.04126234299738767,0.0,1.0,0.04126234299738767,1.0,0.04126234299738766
High Confidence,2022,6,2,0.3333333333333333,-0.33598484848484844,0.5049244597437369,0.046119350664648916,0.046119350664648916,0.0,1.0,0.046119350664648916,1.0,0.046119350664648916
High Confidence,2023,7,3,0.42857142857142855,-0.1434023464458247,0.49311608296142173,0.04268323465577105,0.04268323465577105,0.0,1.0,0.04268323465577105,1.0,0.04268323465577104
High Confidence,2024,4,3,0.75,0.4659313725490196,0.510790103400584,0.03568351457337718,0.03568351457337718,0.0,1.0,0.03568351457337718,1.0,0.03568351457337717
High Confidence,2025,4,1,0.25,-0.5,0.5012727077398651,0.04682306498187073,0.04682306498187073,0.0,1.0,0.04682306498187073,1.0,0.04682306498187072
