bet_band,Week,bets,wins,hit_rate,roi,avg_market_prob,avg_edge_governed,avg_close_edge,avg_clv,beat_close_rate,avg_confidence_score
Balanced,1,3,2,0.6666666666666666,0.19375,0.5695985996737877,0.036850365592934,0.036850365592934,0.036850365592934,1.0,0.036850365592934
Balanced,2,1,0,0.0,-1.0,0.574468085106383,0.0168111748150434,0.0168111748150434,0.0168111748150434,1.0,0.0168111748150434
Balanced,3,3,3,1.0,0.7585585585585587,0.5692951015531661,0.0413517955099252,0.0413517955099252,0.0413517955099252,1.0,0.0413517955099252
Balanced,4,1,0,0.0,-1.0,0.5633187772925764,0.0560517429748025,0.0560517429748025,0.0560517429748025,1.0,0.05605174297480249
Balanced,5,2,2,1.0,0.8846153846153846,0.5326086956521738,0.03421156049495645,0.03421156049495645,0.03421156049495645,1.0,0.03421156049495645
Balanced,7,1,0,0.0,-1.0,0.5780590717299579,0.039417470197082,0.039417470197082,0.039417470197082,1.0,0.039417470197082
Balanced,12,2,0,0.0,-1.0,0.5287799362729982,0.053286251896380255,0.053286251896380255,0.053286251896380255,1.0,0.053286251896380255
Balanced,14,1,0,0.0,-1.0,0.5121951219512195,0.0469404200072347,0.0469404200072347,0.0469404200072347,1.0,0.0469404200072347
Balanced,15,1,0,0.0,-1.0,0.5098039215686274,0.0398029660270476,0.0398029660270476,0.0398029660270476,1.0,0.039802966027047595
High Confidence,5,1,1,1.0,1.0,0.5,0.0513468851237298,0.0513468851237298,0.0513468851237298,1.0,0.0513468851237298
High Confidence,12,1,0,0.0,-1.0,0.4830917874396135,0.0492019887694708,0.0492019887694708,0.0492019887694708,1.0,0.0492019887694708
High Confidence,14,1,0,0.0,-1.0,0.5121951219512195,0.0469404200072347,0.0469404200072347,0.0469404200072347,1.0,0.0469404200072347
High Confidence,15,1,0,0.0,-1.0,0.5098039215686274,0.0398029660270476,0.0398029660270476,0.0398029660270476,1.0,0.039802966027047595
