shrink_factor,0.05,0.08,0.09,0.1,0.12
0.5,-0.08996944232238352,1.0675,1.05,,
0.55,-0.022948179271708686,-0.173,1.0675,1.05,
0.6,-0.10523426931748307,-0.173,0.03374999999999995,1.0675,
0.65,0.012730094036993695,-0.2530829831932773,-0.31083333333333335,1.0675,1.05
0.7,0.05065294874027179,-0.027537815126050424,-0.2530829831932773,-0.17300000000000004,1.05
0.75,0.08642119708821501,-0.10523426931748307,-0.06135140397622463,-0.4092857142857143,1.0675
0.8,0.1827914296857765,0.026561889825878347,-0.12745649153970534,-0.06135140397622463,0.03374999999999995
0.85,0.24237313041584563,-0.02746768332285208,0.026561889825878347,-0.14975749023812152,-0.16438775510204082
0.9,0.3264408115638813,0.060955336610183875,-0.02746768332285208,-0.030699175478481746,-0.14668309452384057
1.0,0.17021244506363573,0.15589144896706789,0.11637633664259994,-0.02746768332285208,-0.03712573220894601
