bucket,bets,avg_model_prob,avg_implied_prob,actual_win_rate,model_edge,actual_edge,trust_factor
+110 to +150,80,0.5001589872052747,0.4411560486858856,0.4,0.05900293851938915,-0.04115604868588557,0.0
+150 to +200,56,0.47463959468900263,0.37299115543089834,0.21428571428571427,0.1016484392581043,-0.15870544114518406,0.0
+200 to +300,76,0.4585341243254499,0.29612675241636355,0.19736842105263158,0.16240737190908633,-0.09875833136373197,0.0
-110 to +110,31,0.5133878089074136,0.43322826270166553,0.3225806451612903,0.08015954620574811,-0.11064761754037522,0.0
-150 to -110,74,0.4918704547674691,0.567177761342028,0.581081081081081,-0.07530730657455892,0.01390331973905301,0.0
-200 to -150,66,0.5116851474188752,0.6304677573347724,0.7424242424242424,-0.11878260991589729,0.11195648508946998,0.0
-300 to -200,75,0.5385886259712843,0.7099921888741784,0.7866666666666666,-0.17140356290289405,0.07667447779248826,0.0
<=-300,71,0.5527506827286196,0.8139643475992514,0.7746478873239436,-0.2612136648706318,-0.039316460275307774,0.15051456168948732
>=+300,41,0.4349943754173919,0.19670362867252592,0.24390243902439024,0.23829074674486597,0.04719881035186432,0.19807235906814008
