_date_iso,_home_nick,_away_nick,book,_market_norm,side,line_close,ts_close_utc
2025-11-23,,,BetMGM,,,,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,BetMGM,,AWAY,-3.5,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,BetMGM,,HOME,3.5,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,BetMGM,,OVER,45.5,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,BetMGM,,UNDER,45.5,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,BetOnline.ag,,,,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,BetOnline.ag,,AWAY,7.0,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,BetOnline.ag,,HOME,-7.0,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,BetOnline.ag,,OVER,50.0,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,BetOnline.ag,,UNDER,50.0,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,BetRivers,,,,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,BetRivers,,AWAY,-5.5,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,BetRivers,,HOME,5.5,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,BetRivers,,OVER,42.0,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,BetRivers,,UNDER,42.0,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,BetUS,,,,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,BetUS,,AWAY,7.0,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,BetUS,,HOME,-7.0,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,BetUS,,OVER,50.0,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,BetUS,,UNDER,50.0,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,Bovada,,,,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,Bovada,,AWAY,-3.5,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,Bovada,,HOME,3.5,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,Bovada,,OVER,45.5,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,Bovada,,UNDER,45.5,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,Caesars,,,,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,Caesars,,AWAY,-5.5,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,Caesars,,HOME,5.5,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,Caesars,,OVER,42.5,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,Caesars,,UNDER,42.5,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,DraftKings,,,,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,DraftKings,,AWAY,-5.5,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,DraftKings,,HOME,5.5,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,DraftKings,,OVER,42.5,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,DraftKings,,UNDER,42.5,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,FanDuel,,,,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,FanDuel,,AWAY,-5.5,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,FanDuel,,HOME,5.5,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,FanDuel,,OVER,43.5,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,FanDuel,,UNDER,43.5,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,Fanatics,,,,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,Fanatics,,AWAY,-5.5,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,Fanatics,,HOME,3.5,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,Fanatics,,OVER,45.5,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,Fanatics,,UNDER,49.5,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,LowVig.ag,,,,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,LowVig.ag,,AWAY,7.5,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,LowVig.ag,,HOME,-7.5,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,LowVig.ag,,OVER,50.0,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,LowVig.ag,,UNDER,50.0,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,MyBookie.ag,,,,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,MyBookie.ag,,AWAY,-5.5,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,MyBookie.ag,,HOME,5.5,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,MyBookie.ag,,OVER,42.5,2025-11-23 23:15:12.320221+00:00
2025-11-23,,,MyBookie.ag,,UNDER,42.5,2025-11-23 23:15:12.320221+00:00
