_date_iso,_home_nick,_away_nick,book,_market_norm,side,line_open,ts_open_utc
2025-11-23,,,BetMGM,,,,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,BetMGM,,AWAY,-3.0,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,BetMGM,,HOME,3.0,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,BetMGM,,OVER,47.5,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,BetMGM,,UNDER,47.5,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,BetOnline.ag,,,,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,BetOnline.ag,,AWAY,1.5,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,BetOnline.ag,,HOME,-1.5,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,BetOnline.ag,,OVER,41.0,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,BetOnline.ag,,UNDER,41.0,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,BetRivers,,,,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,BetRivers,,AWAY,1.5,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,BetRivers,,HOME,-1.5,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,BetRivers,,OVER,40.5,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,BetRivers,,UNDER,40.5,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,BetUS,,,,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,BetUS,,AWAY,1.0,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,BetUS,,HOME,-1.0,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,BetUS,,OVER,41.0,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,BetUS,,UNDER,41.0,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,Bovada,,,,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,Bovada,,AWAY,1.0,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,Bovada,,HOME,-1.0,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,Bovada,,OVER,41.0,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,Bovada,,UNDER,41.0,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,Caesars,,,,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,Caesars,,AWAY,1.5,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,Caesars,,HOME,-1.5,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,Caesars,,OVER,41.0,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,Caesars,,UNDER,41.0,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,DraftKings,,,,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,DraftKings,,AWAY,1.5,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,DraftKings,,HOME,-1.5,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,DraftKings,,OVER,40.5,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,DraftKings,,UNDER,40.5,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,FanDuel,,,,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,FanDuel,,AWAY,1.5,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,FanDuel,,HOME,-1.5,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,FanDuel,,OVER,40.5,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,FanDuel,,UNDER,40.5,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,Fanatics,,,,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,Fanatics,,AWAY,1.5,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,Fanatics,,HOME,-1.5,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,Fanatics,,OVER,41.0,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,Fanatics,,UNDER,41.0,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,LowVig.ag,,,,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,LowVig.ag,,AWAY,1.5,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,LowVig.ag,,HOME,-1.5,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,LowVig.ag,,OVER,41.0,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,LowVig.ag,,UNDER,41.0,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,MyBookie.ag,,,,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,MyBookie.ag,,AWAY,1.0,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,MyBookie.ag,,HOME,-1.0,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,MyBookie.ag,,OVER,41.0,2025-11-23 20:02:59.088452+00:00
2025-11-23,,,MyBookie.ag,,UNDER,41.0,2025-11-23 20:02:59.088452+00:00
