Season,month,bets,hit_rate,roi,avg_edge_market,avg_edge_close,avg_ev
2024,2024-09,31,0.8709677419354839,0.47758706721647026,0.07594005885189313,0.08176421907089156,0.12363030139909992
2024,2024-10,32,0.75,0.3427589338557419,0.07990348397400966,0.05564772015190723,0.686473824706533
2024,2024-11,30,0.8,0.3175072684504017,0.07708036030723946,0.06227503869933864,0.1351988619250182
2024,2024-12,37,0.7567567567567568,0.17177985527532139,0.10200177492159994,0.06316216898646274,0.3527648847139411
2024,2025-01,15,0.6666666666666666,-0.03845798158912981,0.09354165079075204,0.05610799944745199,0.15682473636901095
2024,2025-02,1,1.0,0.9803921568627452,0.058921628527821,0.048408388994298,0.1219677710525897
2025,2025-09,33,0.7272727272727273,0.17220734466182122,0.08149385899382959,0.07167734820649911,0.13082332024089174
2025,2025-10,23,0.5217391304347826,-0.1944320615192078,0.07697480974659826,0.06862681425264357,0.12829498368731454
2025,2025-11,32,0.4375,-0.3199243898184554,0.07417190331837496,0.06157226802187019,0.12052591633117216
2025,2025-12,23,0.0,-1.0,0.076466768011005,0.06624346123769488,0.14536096531085482
