bet_band,Season,market_prob_bucket,bets,wins,hit_rate,roi,avg_market_prob,avg_edge_governed,avg_close_edge,avg_close_to_governed_ratio,avg_clv,beat_close_rate,avg_confidence_score
Balanced,2020,<=0.40,0,0,,,,,,,,,
Balanced,2020,0.40-0.50,4,2,0.5,0.04250000000000004,0.4752024366291428,0.041838013659921354,0.041838013659921354,1.0,0.041838013659921354,1.0,0.04183801365992135
Balanced,2020,0.50-0.60,5,4,0.8,0.465798431369189,0.5460663131594323,0.030209988960347923,0.030209988960347923,1.0,0.030209988960347923,1.0,0.030209988960347923
Balanced,2020,0.60-0.72,0,0,,,,,,,,,
Balanced,2020,>0.72,0,0,,,,,,,,,
Balanced,2021,<=0.40,0,0,,,,,,,,,
Balanced,2021,0.40-0.50,3,1,0.3333333333333333,-0.3,0.4724990771502398,0.05053224627134387,0.05053224627134387,1.0,0.05053224627134387,1.0,0.05053224627134386
Balanced,2021,0.50-0.60,4,4,1.0,0.850848712690818,0.5409722609293425,0.03626032703163258,0.03626032703163258,1.0,0.03626032703163258,1.0,0.036260327031632573
Balanced,2021,0.60-0.72,0,0,,,,,,,,,
Balanced,2021,>0.72,0,0,,,,,,,,,
Balanced,2022,<=0.40,0,0,,,,,,,,,
Balanced,2022,0.40-0.50,3,1,0.3333333333333333,-0.30833333333333335,0.48603939567794985,0.048155514051704505,0.048155514051704505,1.0,0.048155514051704505,1.0,0.04815551405170449
Balanced,2022,0.50-0.60,3,1,0.3333333333333333,-0.3636363636363636,0.5238095238095238,0.04408318727759333,0.04408318727759333,1.0,0.04408318727759333,1.0,0.044083187277593326
Balanced,2022,0.60-0.72,0,0,,,,,,,,,
Balanced,2022,>0.72,0,0,,,,,,,,,
Balanced,2023,<=0.40,0,0,,,,,,,,,
Balanced,2023,0.40-0.50,6,3,0.5,0.0050000000000000044,0.48656725805348655,0.036374479804712846,0.036374479804712846,1.0,0.036374479804712846,1.0,0.036374479804712846
Balanced,2023,0.50-0.60,5,2,0.4,-0.2725350971046915,0.5424849025945354,0.028574310360474964,0.028574310360474964,1.0,0.028574310360474964,1.0,0.028574310360474958
Balanced,2023,0.60-0.72,0,0,,,,,,,,,
Balanced,2023,>0.72,0,0,,,,,,,,,
Balanced,2024,<=0.40,0,0,,,,,,,,,
Balanced,2024,0.40-0.50,1,1,1.0,1.05,0.4878048780487805,0.0322682537618189,0.0322682537618189,1.0,0.0322682537618189,1.0,0.0322682537618189
Balanced,2024,0.50-0.60,8,6,0.75,0.354697412940447,0.5448683428069107,0.033550528437040726,0.033550528437040726,1.0,0.033550528437040726,1.0,0.03355052843704072
Balanced,2024,0.60-0.72,0,0,,,,,,,,,
Balanced,2024,>0.72,0,0,,,,,,,,,
Balanced,2025,<=0.40,0,0,,,,,,,,,
Balanced,2025,0.40-0.50,2,1,0.5,0.0,0.4915458937198067,0.050274436946600304,0.050274436946600304,1.0,0.050274436946600304,1.0,0.050274436946600304
Balanced,2025,0.50-0.60,13,6,0.46153846153846156,-0.1826033503918119,0.5610931967492582,0.03908284678609697,0.03908284678609697,1.0,0.03908284678609697,1.0,0.03908284678609697
Balanced,2025,0.60-0.72,0,0,,,,,,,,,
Balanced,2025,>0.72,0,0,,,,,,,,,
High Confidence,2020,<=0.40,0,0,,,,,,,,,
High Confidence,2020,0.40-0.50,3,1,0.3333333333333333,-0.2933333333333333,0.4710016228225969,0.04624542421474243,0.04624542421474243,1.0,0.04624542421474243,1.0,0.046245424214742425
High Confidence,2020,0.50-0.60,2,2,1.0,0.8782742681047766,0.5325469637396243,0.0339208672814843,0.0339208672814843,1.0,0.0339208672814843,1.0,0.0339208672814843
High Confidence,2020,0.60-0.72,0,0,,,,,,,,,
High Confidence,2020,>0.72,0,0,,,,,,,,,
High Confidence,2021,<=0.40,0,0,,,,,,,,,
High Confidence,2021,0.40-0.50,3,1,0.3333333333333333,-0.3,0.4724990771502398,0.05053224627134387,0.05053224627134387,1.0,0.05053224627134387,1.0,0.05053224627134386
High Confidence,2021,0.50-0.60,3,3,1.0,0.883838383838384,0.5310245310245311,0.03199243972343147,0.03199243972343147,1.0,0.03199243972343147,1.0,0.031992439723431465
High Confidence,2021,0.60-0.72,0,0,,,,,,,,,
High Confidence,2021,>0.72,0,0,,,,,,,,,
High Confidence,2022,<=0.40,0,0,,,,,,,,,
High Confidence,2022,0.40-0.50,3,1,0.3333333333333333,-0.30833333333333335,0.48603939567794985,0.048155514051704505,0.048155514051704505,1.0,0.048155514051704505,1.0,0.04815551405170449
High Confidence,2022,0.50-0.60,3,1,0.3333333333333333,-0.3636363636363636,0.5238095238095238,0.04408318727759333,0.04408318727759333,1.0,0.04408318727759333,1.0,0.044083187277593326
High Confidence,2022,0.60-0.72,0,0,,,,,,,,,
High Confidence,2022,>0.72,0,0,,,,,,,,,
High Confidence,2023,<=0.40,0,0,,,,,,,,,
High Confidence,2023,0.40-0.50,5,2,0.4,-0.194,0.48388070966418384,0.04008921169137296,0.04008921169137296,1.0,0.04008921169137296,1.0,0.04008921169137296
High Confidence,2023,0.50-0.60,2,1,0.5,-0.016908212560386493,0.5162045162045162,0.04916829206676625,0.04916829206676625,1.0,0.04916829206676625,1.0,0.04916829206676625
High Confidence,2023,0.60-0.72,0,0,,,,,,,,,
High Confidence,2023,>0.72,0,0,,,,,,,,,
High Confidence,2024,<=0.40,0,0,,,,,,,,,
High Confidence,2024,0.40-0.50,1,1,1.0,1.05,0.4878048780487805,0.0322682537618189,0.0322682537618189,1.0,0.0322682537618189,1.0,0.0322682537618189
High Confidence,2024,0.50-0.60,3,2,0.6666666666666666,0.2712418300653595,0.5184518451845185,0.0368219348438966,0.0368219348438966,1.0,0.0368219348438966,1.0,0.03682193484389659
High Confidence,2024,0.60-0.72,0,0,,,,,,,,,
High Confidence,2024,>0.72,0,0,,,,,,,,,
High Confidence,2025,<=0.40,0,0,,,,,,,,,
High Confidence,2025,0.40-0.50,2,1,0.5,0.0,0.4915458937198067,0.050274436946600304,0.050274436946600304,1.0,0.050274436946600304,1.0,0.050274436946600304
High Confidence,2025,0.50-0.60,2,0,0.0,-1.0,0.5109995217599235,0.04337169301714115,0.04337169301714115,1.0,0.04337169301714115,1.0,0.04337169301714115
High Confidence,2025,0.60-0.72,0,0,,,,,,,,,
High Confidence,2025,>0.72,0,0,,,,,,,,,
