Season,Week,games,league_points_per_game,league_home_points_per_game,league_away_points_per_game,league_margin_abs,league_closing_total_avg,league_closing_spread_abs_avg,league_favorite_win_rate,league_underdog_win_rate,league_points_per_game_prior,league_points_per_game_last3,league_home_points_per_game_prior,league_home_points_per_game_last3,league_away_points_per_game_prior,league_away_points_per_game_last3,league_margin_abs_prior,league_margin_abs_last3,league_closing_total_avg_prior,league_closing_total_avg_last3,league_closing_spread_abs_avg_prior,league_closing_spread_abs_avg_last3,league_favorite_win_rate_prior,league_favorite_win_rate_last3,league_underdog_win_rate_prior,league_underdog_win_rate_last3,scoring_delta_vs_prior,favorite_reliability_delta_vs_prior,underdog_reliability_delta_vs_prior,volatility_proxy,scoring_up_flag,favorite_weaker_flag,high_variance_flag
2017,,365,42.18318318318318,22.144144144144143,20.03903903903904,11.006006006006006,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
2018,,365,45.174174174174176,23.33933933933934,21.834834834834833,10.675675675675675,,,,,42.18318318318318,42.18318318318318,22.144144144144143,22.144144144144143,20.03903903903904,20.03903903903904,11.006006006006006,11.006006006006006,,,,,,,,,2.990990990990994,,,0.3303303303303302,1,0,1
2019,,365,44.0990990990991,22.08108108108108,22.01801801801802,11.12012012012012,,,,,43.67867867867868,43.67867867867868,22.74174174174174,22.74174174174174,20.936936936936938,20.936936936936938,10.84084084084084,10.84084084084084,,,,,,,,,0.42042042042042027,,,-0.27927927927927954,0,0,0
2020,,301,49.4907063197026,24.83271375464684,24.65799256505576,11.037174721189592,,,,,43.81881881881882,43.81881881881882,22.52152152152152,22.52152152152152,21.297297297297295,21.297297297297295,10.933933933933934,10.933933933933934,,,,,,,,,5.671887500883784,,,-0.10324078725565755,1,0,1
2021,,367,44.55522388059701,22.856716417910448,21.698507462686567,11.922388059701493,,,,,45.23679069403977,45.23679069403977,23.099319579802852,23.099319579802852,22.137471114236913,22.137471114236913,10.959744130747849,10.959744130747849,,,,,,,,,-0.6815668134427568,,,-0.9626439289536446,0,0,0
2022,,366,43.23353293413174,22.85928143712575,20.37425149700599,9.622754491017965,,,,,45.100477331351215,45.100477331351215,23.05079894742437,23.05079894742437,22.049678383926842,22.049678383926842,11.152272916538577,11.152272916538577,,,,,,,,,-1.866944397219477,,,1.529518425520612,0,0,0
2023,,366,43.20059880239521,22.697604790419163,20.50299401197605,11.080838323353293,,,,,44.78931993181464,44.78931993181464,23.0188793623746,23.0188793623746,21.770440569440037,21.770440569440037,10.897353178951809,10.897353178951809,,,,,,,,,-1.588721129419426,,,-0.18348514440148378,0,0,0
2024,,366,44.39221556886228,23.218562874251496,21.17365269461078,11.020958083832335,,,,,44.562359770469,44.562359770469,22.972982994952392,22.972982994952392,21.589376775516605,21.589376775516605,10.923565342437735,10.923565342437735,,,,,,,,,-0.17014420160672472,,,-0.09739274139460008,0,0,0
2025,,353,29.981308411214954,15.744548286604362,14.236760124610592,7.501557632398754,,,,,44.54109174526816,44.54109174526816,23.003680479864784,23.003680479864784,21.537411265403378,21.537411265403378,10.93573943511206,10.93573943511206,,,,,,,,,-14.559783334053208,,,3.434181802713306,0,0,0
